country,country_code,indicator,indicator_code,year,value
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,173.7
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,21.0
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,69.3
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,17.0
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,123.3
Thailand,THA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,44.1
Trinidad and Tobago,TTO,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,38.9
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,18.7
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,7.6
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,38.3
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,0.0
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,117.8
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,109.7
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,5.5
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,22.3
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,63.6
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,37.2
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,38.6
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,45.3
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,159.9
Honduras,HND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,108.0
Iceland,ISL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,5.4941029961175
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,63.0
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,76.35
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,143.5
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,13.3
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,61.7
Peru,PER,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,185.0
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,15.6
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,101.8
Saudi Arabia,SAU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,23.0
El Salvador,SLV,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,173.0
Thailand,THA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,36.5
Trinidad and Tobago,TTO,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,70.4
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,30.2
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,8.4
"Venezuela, RB",VEN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1997,59.6
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,38.1
Antigua and Barbuda,ATG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,0.0
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,17.0
Belize,BLZ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,117.84
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,110.2
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,3.8
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,20.3
Colombia,COL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,100.4
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,15.6
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,39.1
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,42.6
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,105.9
India,IND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,398.0
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,53.0
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,76.35
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,162.4
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,18.5
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,65.8
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,6.6
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,110.9
Thailand,THA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,36.4
Trinidad and Tobago,TTO,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,44.7
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,20.1
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1998,7.1
Aruba,ABW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,0.0
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,41.1
Antigua and Barbuda,ATG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,0.0
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,19.0
Belize,BLZ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,28.12
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,92.3
Bhutan,BTN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,255.64
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,2.4
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,22.7
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,58.7
Colombia,COL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,92.2
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,28.0
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,43.8
Dominica,DMA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,0.0
Dominican Republic,DOM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,121.6
Algeria,DZA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,117.41
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,58.5
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,231.0
India,IND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,540.0
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,55.8
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,77.31
Myanmar,MMR,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,255.0
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,182.0
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,13.7
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,60.7
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,18.4
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,114.4
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,11.1
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,9.9
"Venezuela, RB",VEN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,59.3
Virgin Islands (U.S.),VIR,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1999,0.0
Aruba,ABW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Afghanistan,AFG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,1900.0
United Arab Emirates,ARE,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,34.9
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,38.0
Belize,BLZ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,68.3713934089977
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,73.3
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,2.7
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,18.7
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,53.0
Colombia,COL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,104.9
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,35.8
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,40.4
Curacao,CUW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Dominica,DMA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Dominican Republic,DOM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,97.8
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,65.5
"Egypt, Arab Rep.",EGY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,84.0
Fiji,FJI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,57.6
Grenada,GRD,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Guatemala,GTM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,153.0
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,133.0
Haiti,HTI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,523.0
India,IND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,327.0
Jamaica,JAM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,91.3540194031769
St. Kitts and Nevis,KNA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,55.6
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,71.31
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,166.2
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,16.1
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,61.7
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,30.3
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,164.0
Turks and Caicos Islands,TCA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,17.1
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,9.8
"Venezuela, RB",VEN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,60.1
British Virgin Islands,VGB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2000,0.0
Aruba,ABW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,43.5
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,187.0
Belize,BLZ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,55.4400554400554
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,70.9
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,7.5
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,17.4
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,50.2
Colombia,COL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,98.6
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,32.7
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,33.9
Curacao,CUW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Cayman Islands,CYM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Dominican Republic,DOM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,98.8
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,52.6
Fiji,FJI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,40.6
Grenada,GRD,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,92.0
St. Kitts and Nevis,KNA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,46.6
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,66.54
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,165.0
Nicaragua,NIC,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,87.0
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,23.1
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,76.7
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,12.5
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,159.7
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,36.6
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,9.9
St. Vincent and the Grenadines,VCT,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,0.0
"Venezuela, RB",VEN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,67.2
Viet Nam,VNM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2001,130.0
Aruba,ABW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,0.0
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,46.1
Belize,BLZ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,92.678405931418
Bermuda,BMU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,75.9
Canada,CAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,4.0
Chile,CHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,17.1
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,43.2
Colombia,COL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,84.4
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,38.0
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,41.1
Curacao,CUW,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,165.0
Cayman Islands,CYM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,0.0
Dominican Republic,DOM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,135.6
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,42.3
Fiji,FJI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,35.3
Grenada,GRD,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,0.0
Guyana,GUY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,117.0
India,IND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,301.0
"Iran, Islamic Rep.",IRN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,27.4
Jamaica,JAM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,95.0
St. Kitts and Nevis,KNA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,0.0
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,2002,53.4
